Missing Data Report (after cleaning)
Column	Missing Count	Missing Percentage
patient_id	0	0.00%
age	0	0.00%
sex	0	0.00%
bmi	0	0.00%
enrollment_date	0	0.00%
systolic_bp	0	0.00%
diastolic_bp	0	0.00%
cholesterol_total	0	0.00%
cholesterol_hdl	0	0.00%
cholesterol_ldl	0	0.00%
glucose_fasting	0	0.00%
site	0	0.00%
intervention_group	0	0.00%
follow_up_months	0	0.00%
adverse_events	0	0.00%
outcome_cvd	0	0.00%
adherence_pct	0	0.00%
dropout	0	0.00%
